concentration,mu_h(c)
0.02035949,-0.10388112
0.0126,-0.2004633
0.014736863,-0.17026973
0.012988502,-0.21006489
0.015597636,-0.14316654
0.021203309,-0.10559559
0.015677533,-0.10487461
0.027505712,-0.013707638
0.022134932,-0.056990862
0.027320528,-0.024917126
0.021049375,-0.06891513
0.029394158,-0.036174774
0.025829498,-0.06993532
0.033909649,-0.17525935
0.020034993,-0.19302511
0.017741166,-0.20743918
0.038265765,-0.16302061
0.017602757,-0.18845844
0.029139656,-0.13785243
0.021329997,-0.18218851
0.019381026,-0.17763329
0.017872,-0.1928575
0.026683055,0.06766367
0.032114329,0.08590722
0.036046626,0.102494955
0.018275002,0.08088255
0.024134904,0.098023415
0.017089244,0.093630075
0.021673696,0.049717665
0.020647459,0.05896187
0.017552658,0.07286286
0.02655565,0.026504993
0.023047639,0.052538633
0.019833641,0.07579517
0.027729221,0.029164553
0.023254304,0.055437088
0.027561559,0.031828642
0.028973623,-0.011492729
0.035306793,-0.009294033
0.030541731,-0.05521202
0.04010399,0.12763906
0.059126124,0.1435554
0.027487015,0.14617562
0.019716643,0.12036538
0.026835466,0.12386966
0.020324452,0.14317536
0.026351255,-0.14416122
0.023921085,-0.15136361
0.024055539,-0.16010928
0.025602702,-0.14333868
0.021796705,-0.1513505
0.026515249,-0.1428647
0.03151954,-0.13486314
0.029502313,-0.13945794
0.028786095,-0.13846684
0.026365118,-0.15371466
0.02466494,-0.15316558
0.02419392,-0.14882183
0.024324809,-0.16455269
0.023156835,-0.15850496
0.022527631,-0.1684537
0.035363478,-0.16799116
0.031458805,-0.16077495
0.024016376,-0.17317557
0.019074489,-0.17346191
0.029170757,-0.16259241
0.023156961,-0.15916872
0.0126,-0.1544671
0.0126,-0.1672535
0.0126,-0.15506816
0.014606603,-0.15222025
0.0126,-0.16316414
0.013150134,-0.15301895
0.045401747,-0.14994001
0.045691295,-0.13670278
0.032693722,-0.12620401
0.036880981,-0.14656568
0.032581245,-0.13308
0.024649255,-0.14304829
0.047184892,-0.13935804
0.045359279,-0.13272238
0.049117213,-0.14385152
0.037129396,-0.12940693
0.036213005,-0.1272757
0.042675524,-0.1334722
0.030639742,-0.12872076
0.027250832,-0.12544036
0.029447071,-0.12260175
0.028680704,-0.12448025
0.022828926,-0.12056041
0.025471775,-0.1213429
0.029443252,-0.13171458
0.030820339,-0.13557196
0.02986633,-0.12883186
0.035544283,-0.12688279
0.027514311,-0.13455367
0.021672156,-0.14275265
0.023366915,-0.1352799
0.018309934,-0.14351702
0.015120996,-0.14423513
0.017582317,-0.14855886
0.014280352,-0.15961146
0.017754196,-0.14993644
0.030614243,-0.12986827
0.025225179,-0.13550091
0.019766409,-0.1413126
0.026320403,-0.13667464
0.021818778,-0.14254689
0.021559874,-0.14384174
0.033861095,-0.12881994
0.026698717,-0.13560367
