x,y,grf_interpolated,pred_k
7.4508357,39.226246,0.9579641,0.8559132
8.445264,38.71042,0.9357294,0.8503902
15.052545,18.305939,1.3114349,0.7848512
12.61488,30.601444,0.78111315,0.8164578
12.829824,30.568031,0.7676534,0.8154951
13.748081,19.971256,1.3364192,0.7925088
17.68349,29.19802,0.7721417,0.7934002
13.842076,19.782265,1.3438642,0.7918254
1.7595341,32.81341,1.0305568,0.866702
15.308084,18.907509,1.2706612,0.78495675
21.7559,19.261639,0.9836562,0.763487
21.105171,14.52557,0.94099605,0.75879717
1.208477,34.408478,0.9900998,0.8725473
1.6763848,38.220562,0.9257488,0.87913525
2.1342924,24.309435,1.1678252,0.8457899
1.8398966,23.697088,1.2523096,0.8454808
3.0882215,39.515373,0.9697352,0.875907
7.7834263,39.05898,0.94973063,0.8540751
13.338982,6.181465,1.6413621,0.7702758
20.866697,9.409488,0.9527152,0.75242555
19.308596,25.805708,0.85901487,0.78174454
15.411712,18.732227,1.275574,0.78428715
7.5675955,39.04358,0.95529574,0.85501945
12.85595,19.915388,1.1631367,0.7957298
3.5046153,16.224028,1.4266506,0.8226391
3.1909194,16.882183,1.4259026,0.82518697
19.214266,5.1308527,0.9195593,0.751252
13.545432,25.802889,1.3556318,0.80379
2.7378697,17.872498,1.4074999,0.8289847
21.04467,22.35976,0.9542749,0.7703474
13.701415,25.647678,1.3419769,0.80288965
9.304291,27.032843,1.5612892,0.8232893
9.472279,26.893122,1.5951912,0.8223232
1.5628461,37.911453,0.9195105,0.8789305
13.235807,6.3841243,1.6313646,0.77092963
18.804169,3.5323207,1.0265261,0.75019556
2.4173548,21.683046,1.1975509,0.8387413
8.697645,28.648481,1.4594194,0.8290472
16.884724,29.866848,0.73776186,0.79766893
16.262438,31.56799,0.7549245,0.8030948
8.86044,27.979841,1.4827055,0.8270192
16.707361,9.095819,0.91525716,0.7644041
16.616236,8.913555,0.9231208,0.76440775
13.274482,26.43138,1.2871059,0.8060194
6.914897,11.379769,1.6009738,0.8007317
13.337981,26.21185,1.3239989,0.8053629
14.821777,33.24303,0.67855215,0.81201035
1.2146324,30.468073,1.0964348,0.86350447
12.807501,35.042393,0.68435836,0.823919
1.3355209,25.836695,1.1619325,0.8523124
8.781544,20.581532,0.8652445,0.8124231
12.946279,24.090675,1.6775188,0.8030176
17.332857,19.600506,1.0344721,0.77889
13.336734,34.693108,0.6858572,0.8209778
2.357457,37.107765,0.9622305,0.8738211
20.908102,22.757067,0.94529927,0.7714036
13.401518,34.46236,0.6749972,0.82027394
13.930752,34.113075,0.6808554,0.81736165
15.899072,4.2441826,1.4006056,0.7594922
18.131992,3.4981818,1.0930982,0.752013
18.122782,16.99518,1.0346389,0.77203304
15.106294,18.069698,1.3104348,0.7842567
1.9395468,22.572088,1.2532476,0.8425258
1.9787298,22.202005,1.252818,0.8415328
20.72412,22.900923,0.9340935,0.77224725
17.484613,29.5343,0.7646416,0.79474026
16.584322,4.0855794,1.293699,0.7572587
20.665071,7.287353,0.94260097,0.7501291
20.833395,10.418976,0.95159394,0.7538999
20.9653,10.609488,0.9525796,0.753778
17.773058,3.5043814,1.1483334,0.7530276
20.160675,4.7171392,0.9402302,0.7480822
17.284786,29.645231,0.7492542,0.7957118
18.966904,26.763588,0.8406548,0.78453076
4.163701,15.476438,1.5104619,0.81871015
21.27986,15.075285,0.9409375,0.7590363
9.744501,7.9650803,1.4392334,0.7848197
10.4962,7.543473,1.4586074,0.7816252
4.439271,14.904885,1.5387869,0.8165222
5.4307237,13.571552,1.5974399,0.81027234
4.6871343,14.571552,1.5525583,0.8149502
21.635336,17.816118,0.9695793,0.76180756
3.719011,39.706963,0.9664982,0.87356156
1.3386325,34.216957,0.99950105,0.871586
21.63001,18.393375,0.96907353,0.76264644
21.853722,19.475925,0.98721874,0.76348114
20.998167,11.009488,0.94971365,0.7542305
20.89913,11.218976,0.9455387,0.7548082
1.8731133,23.322088,1.2537359,0.8444946
17.052876,28.639791,0.7639786,0.7949222
7.119587,39.394154,0.96359605,0.8577474
6.278036,39.60397,0.9856909,0.86196655
21.491894,17.632269,0.9636323,0.7619973
21.379782,16.8323,0.9524173,0.76121074
21.031033,11.409488,0.9468649,0.75468373
6.3106356,12.189908,1.6410686,0.8044135
15.667134,32.39249,0.7469828,0.80697596
15.180736,32.727467,0.7090336,0.8095877
2.7621813,18.064613,1.3950738,0.8293288
3.03542,17.21203,1.4332827,0.82646406
20.602612,10.437939,0.947197,0.7545983
20.569744,10.037939,0.9484407,0.75414217
14.589553,33.3023,0.65751195,0.8130954
1.257756,31.634739,1.0656722,0.8660191
1.7502472,24.855864,1.2078307,0.84848607
1.2433814,31.24585,1.073111,0.8651825
12.300856,6.7211456,1.5862266,0.7744299
12.162084,6.8963704,1.5568906,0.77516603
20.752798,6.7517247,0.94931275,0.74916935
15.651869,4.5015826,1.4420346,0.7606082
1.2378477,34.00848,1.004806,0.8715207
1.368003,33.816956,1.0132154,0.87056
2.0344748,21.81789,1.2495189,0.8404487
1.7899371,25.100119,1.1850241,0.84890044
1.2290069,30.856962,1.0834991,0.8643443
1.1571343,28.912518,1.1406405,0.8601308
1.7082803,38.033337,0.92684,0.87858933
4.049259,39.780144,0.9652887,0.87226415
8.22869,38.700634,0.93909645,0.8513492
1.2837892,35.004658,0.97191304,0.87359077
14.22776,33.82306,0.67026275,0.81556785
13.995535,33.882328,0.66599536,0.8166652
11.581041,7.00646,1.4785771,0.77720284
11.100418,7.346598,1.4675591,0.779332
20.753841,23.131735,0.93623734,0.77249354
5.4030175,13.809771,1.5978576,0.8108644
3.2123532,17.094213,1.439404,0.82558054
19.263382,25.105726,0.85088885,0.78079915
6.0858364,13.256429,1.6104567,0.80735904
10.369088,7.7582746,1.4711566,0.7824192
1.3053331,29.88059,1.1090101,0.86179477
14.886561,33.012283,0.6828829,0.8113257
21.044416,16.06099,0.92226535,0.76115996
7.1300683,10.814936,1.5419242,0.79888606
3.9037275,39.638878,0.9665849,0.87260693
4.397785,39.824116,0.9654466,0.8708172
4.5816784,39.729908,0.9675351,0.8698058
1.4532553,37.60016,0.91456926,0.8786998
4.7456646,39.855286,0.9694578,0.8693393
8.116759,38.886097,0.9428021,0.85222363
1.1427598,28.523628,1.1397232,0.85928416
1.2622097,28.713923,1.1347327,0.8592655
1.1715089,29.301407,1.1354196,0.8609763
1.2909586,29.491701,1.1220523,0.860953
2.5031385,19.356611,1.27304,0.8331559
2.5437815,18.524103,1.3360313,0.8311338
19.821997,4.153348,0.9472167,0.74825054
20.53735,5.711399,0.94939727,0.7483774
21.323458,21.559761,0.96821713,0.76823014
21.864105,18.896824,0.97822744,0.7626221
1.2478352,28.325035,1.133361,0.8584199
1.3484567,31.047256,1.0710919,0.8643115
1.0590109,26.161774,1.1334662,0.85410666
1.083397,26.56173,1.1232923,0.85494727
2.187474,21.639557,1.2394077,0.83948267
1.9647582,23.519178,1.2404666,0.8446085
