x,y,grf_interpolated,pred_k
17.973864,4.884373,0.95696026,0.9863433
2.5089774,39.185265,0.97151,0.9520855
21.184063,21.95976,0.9625802,0.9046037
7.1152616,11.4959955,1.6013904,1.0355625
21.467281,16.61615,0.9569515,0.9212894
5.182861,13.904885,1.5784137,1.0384036
20.83383,9.009488,0.9496322,0.95190185
18.098845,5.0678625,0.9378629,0.9847669
20.70123,6.403114,0.95111966,0.9621588
13.618375,14.892998,0.9715169,0.9760861
14.292544,33.592316,0.6555768,0.9012652
13.82724,14.980501,1.0092734,0.97434944
5.0975566,39.860573,0.9740186,0.9331291
2.6950734,39.200947,0.9739258,0.9508156
5.2747855,39.73247,0.9763095,0.93246967
6.461837,39.638298,0.98243666,0.92546546
17.571033,27.817001,0.76311225,0.9036115
7.2005897,19.661978,0.78012353,0.99910605
7.114628,11.727815,1.6017191,1.0345349
18.05758,7.9580536,0.8780056,0.9739645
14.007143,24.667631,1.3929473,0.93507713
12.152211,35.85226,0.73368686,0.90527135
14.138928,24.499418,1.3785319,0.9349303
8.403792,21.913687,0.9278521,0.9814667
1.1933248,36.250233,0.93074363,0.9716473
1.1623737,35.8995,0.9411366,0.97318655
11.267083,36.626514,0.7735539,0.9075845
1.644256,33.017105,1.0319946,0.9811087
21.579168,17.41615,0.96804667,0.917915
20.735487,12.573039,0.9359994,0.9397477
21.177938,20.880554,0.96202,0.90828115
21.016594,13.77557,0.9448777,0.9338
8.537863,22.075966,0.95944405,0.97990066
17.555445,27.576595,0.7618732,0.9045246
21.523224,17.01615,0.96392655,0.9195988
2.6018822,18.192116,1.3733683,1.0371989
20.701927,8.818975,0.9459137,0.95342577
13.658329,5.972141,1.6133953,1.0126612
2.3474953,36.720013,0.96108556,0.96220213
8.774936,38.534187,0.92352176,0.91540295
4.1914077,15.238218,1.5122583,1.0393577
2.3860903,19.838686,1.2598772,1.0313923
21.326887,18.06888,0.955509,0.9170709
21.724602,19.623213,0.9868819,0.9096187
7.8401594,9.804008,1.4973713,1.0379348
8.05561,9.703586,1.5037961,1.0368423
4.309642,19.938711,0.88515496,1.0176876
20.768862,8.208021,0.94331026,0.9552003
20.669825,8.417509,0.9424831,0.95507956
14.303692,5.550863,1.566791,1.0097561
6.8117785,27.443789,1.0964277,0.9691499
3.9184773,37.889835,0.9651214,0.94764197
21.078194,12.494966,0.9442671,0.93795854
