step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda,interp_c_lambda,interp_e11_lambda,interp_e22_lambda,interp_e12_lambda
111,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
112,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
113,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
114,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
115,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
116,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
117,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
118,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
119,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
120,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
121,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
122,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
123,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
124,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
125,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
126,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
127,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
128,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
129,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
130,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
131,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
132,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
133,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
134,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
135,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
136,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
137,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
138,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
139,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
140,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
141,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
142,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
143,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
144,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
145,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
146,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
147,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
148,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
149,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
150,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
151,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
152,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
153,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
154,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
155,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
156,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
157,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
158,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
159,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
160,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
161,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
162,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
163,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
164,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
165,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
166,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
167,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
168,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
169,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
170,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
171,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
172,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
173,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
