concentration,k(c)
0.029816371,-0.0031547695
0.026546777,-0.0031487942
0.026941138,-0.003238313
0.02556576,-0.003230624
0.036187391,-0.0030281767
0.021684617,-0.0027788952
0.018554773,-0.002827458
0.019549006,-0.002874069
0.028844165,-0.0028895363
0.025620093,-0.0029366538
0.035060363,-0.002998449
0.030572919,-0.00307367
0.022106116,-0.0030111
0.026407459,-0.003143303
0.023334453,-0.0026788488
0.026287421,-0.0026906729
0.018010116,-0.0025767311
0.030049539,-0.0027914718
0.037912394,-0.0029025301
0.036088306,-0.002803579
0.035513169,-0.0033438131
0.040089591,-0.003232032
0.038565445,-0.0031167865
0.03402,-0.0032993555
0.033477283,-0.0031883642
0.02957907,-0.003253311
0.012743038,-0.0025911182
0.0126,-0.0027278885
0.02035949,-0.0028627142
0.0126,-0.002677463
0.014736863,-0.0028236657
0.012988502,-0.002795063
0.015597636,-0.0025996044
0.021203309,-0.0026176125
0.015677533,-0.0027290806
0.027505712,-0.0029093549
0.022134932,-0.0028822199
0.027320528,-0.0028394535
0.021049375,-0.0028047338
0.029394158,-0.0027720705
0.025829498,-0.002696164
0.033909649,-0.003241524
0.020034993,-0.0030874684
0.017741166,-0.002929598
0.038265765,-0.0031038746
0.017602757,-0.0029506683
0.029139656,-0.0029697716
0.021329997,-0.003271073
0.019381026,-0.0032659546
0.017872,-0.0031193942
0.026683055,-0.0029580817
0.032114329,-0.0029796064
0.036046626,-0.0030004159
0.018275002,-0.0030192062
0.024134904,-0.0030371249
0.017089244,-0.0030800104
0.021673696,-0.0029901937
0.020647459,-0.0029722005
0.017552658,-0.0030362308
0.02655565,-0.0030014068
0.023047639,-0.0030458272
0.019833641,-0.00308875
0.027729221,-0.0030663908
0.023254304,-0.0031068847
0.027561559,-0.0031378418
0.028973623,-0.0029768571
0.035306793,-0.0030511096
0.030541731,-0.0029593334
0.04010399,-0.0030492544
0.059126124,-0.003056772
0.027487015,-0.0031257942
0.019716643,-0.0031249672
0.026835466,-0.0030850917
0.020324452,-0.0031646863
0.026351255,-0.0033318698
0.023921085,-0.0033500642
0.024055539,-0.0033484325
0.025602702,-0.003453359
0.021796705,-0.003463544
0.026515249,-0.0035691485
0.03151954,-0.0034279004
0.029502313,-0.0033810213
0.028786095,-0.0035037622
0.026365118,-0.0035969242
0.02466494,-0.0036137626
0.02419392,-0.0036027804
0.024324809,-0.0034805536
0.023156835,-0.00348524
0.022527631,-0.0033554658
0.035363478,-0.0033744052
0.031458805,-0.0034938082
0.024016376,-0.0033841953
0.019074489,-0.0025954992
0.029170757,-0.002714038
0.023156961,-0.002725996
0.0126,-0.0026992187
0.0126,-0.0025806054
0.0126,-0.0027185455
0.014606603,-0.0026420653
0.0126,-0.0025383458
0.013150134,-0.0026610717
0.045401747,-0.0028709546
0.045691295,-0.0030366182
0.032693722,-0.0031987876
0.036880981,-0.0028831437
0.032581245,-0.0030492172
0.024649255,-0.0028953925
0.047184892,-0.0030660257
0.045359279,-0.0031327456
0.049117213,-0.0029698536
0.037129396,-0.003299661
0.036213005,-0.0032508522
0.042675524,-0.003184341
0.030639742,-0.003457673
0.027250832,-0.003569223
0.029447071,-0.0036783442
0.028680704,-0.003415227
0.022828926,-0.0035285577
0.025471775,-0.0033679828
0.029443252,-0.0035391673
0.030820339,-0.0036122575
0.02986633,-0.0036480054
0.035544283,-0.0029297397
0.027514311,-0.0028287098
0.021672156,-0.0027265847
0.023366915,-0.0028468743
0.018309934,-0.002744943
0.015120996,-0.0027637705
0.017582317,-0.0026095062
0.014280352,-0.0024987683
0.017754196,-0.002616495
0.030614243,-0.0028370842
0.025225179,-0.0027597174
0.019766409,-0.0026814714
0.026320403,-0.00276611
0.021818778,-0.0026882365
0.021559874,-0.0026948527
0.033861095,-0.0028680041
0.026698717,-0.0027974322
0.035228809,-0.0028988346
0.056273322,-0.0033406988
0.05978997,-0.0031983554
0.045514019,-0.0030652508
0.058145677,-0.0034328997
0.061031598,-0.0032870993
0.044556989,-0.0035181716
0.032437194,-0.0036006942
0.048900811,-0.0034766644
0.041304129,-0.0035711527
0.036047455,-0.0032394677
0.043833716,-0.0033705458
0.050116371,-0.0031548068
0.017279329,-0.0031858236
0.020234386,-0.0032206029
0.026459133,-0.0032520369
0.025878099,-0.0033015087
0.037129455,-0.0033238232
0.051179445,-0.0034289882
0.018023874,-0.0032426417
0.017424368,-0.003208153
0.025178287,-0.0033398345
0.021464894,-0.0033461824
0.029610378,-0.0034454688
0.02744894,-0.0034791082
0.03279241,-0.0032737628
0.04235028,-0.0032618418
0.044884134,-0.0033422336
0.044964991,-0.003337644
0.051014056,-0.0034151226
0.060246461,-0.0034189746
0.02202769,-0.0037448257
0.024920882,-0.0038836598
0.042801144,-0.0040138587
0.026573035,-0.0037513003
0.036892216,-0.0038810447
0.032003702,-0.0037323013
0.039208097,-0.0037814826
0.057766563,-0.0039372966
0.047645914,-0.0038218573
0.018988988,-0.0037586167
0.023955614,-0.0037369058
0.016212268,-0.00390701
0.01581132,-0.0028418377
0.0126,-0.0028602406
0.01446522,-0.0028792694
0.022897567,-0.0030005649
0.014230194,-0.00301864
0.036366976,-0.0031564161
0.038548599,-0.0030056313
0.023713098,-0.0029238388
0.039921508,-0.0030812323
0.018510625,-0.0030337274
0.020568586,-0.0031846762
0.017827884,-0.0031702444
0.070934896,-0.0032278001
0.061339332,-0.003129609
0.04762197,-0.0030302107
0.069027208,-0.00320331
0.052849471,-0.003105037
0.052522857,-0.003179513
0.034311461,-0.003327459
0.017927839,-0.0033404827
0.017866544,-0.0033532828
0.026110435,-0.0034931824
0.02057608,-0.003504552
0.029807036,-0.0036522895
0.03449736,-0.0036734864
0.035321338,-0.003664136
0.020939759,-0.0035179034
0.081164677,-0.0040410236
0.071309619,-0.0039216205
0.049264035,-0.0037913397
0.07170002,-0.003923841
0.052929013,-0.003799282
0.050327771,-0.0038028955
0.090299117,-0.0040551126
0.070564115,-0.0039404556
0.076137262,-0.004049666
0.038763729,-0.002929531
0.04164872,-0.0029598996
0.044429815,-0.002990283
0.044894027,-0.0030210838
0.049496789,-0.0030508712
0.04647884,-0.003111653
0.062653075,-0.0031891242
0.057843865,-0.0031504333
0.05537101,-0.00309024
0.014466103,-0.0026211217
0.012769635,-0.0026394054
0.012786609,-0.0025116876
0.019083792,-0.0027140155
0.022325799,-0.0028251037
0.023689134,-0.002935253
0.016482458,-0.0027332678
0.018062114,-0.0028447062
0.013615547,-0.002752021
0.03171987,-0.0028697178
0.02740641,-0.0029025003
0.025092392,-0.0027924106
0.036037051,-0.0029621646
0.037139139,-0.0030536428
0.030648654,-0.0029949099
0.064261744,-0.0036098287
0.04091264,-0.0038385168
0.036569742,-0.0040797964
0.03147272,-0.0036640093
0.015913533,-0.00390473
0.021609747,-0.003717184
0.027290229,-0.0040891543
0.019123599,-0.0039299503
0.026739713,-0.004110098
0.022606733,-0.0037989318
0.036370485,-0.0036866367
0.067211811,-0.0035631284
0.019099436,-0.003628604
0.041421532,-0.003529407
0.036462155,-0.003502652
0.047912543,-0.003992118
0.055845545,-0.0037558898
0.03531157,-0.003890805
0.048677112,-0.003469579
0.054374542,-0.0034222528
0.02975624,-0.003527142
0.024444643,-0.0036487728
0.023009782,-0.0037194714
0.02752482,-0.003580451
0.066294094,-0.004179038
0.047561681,-0.004261546
0.054145909,-0.0042913854
0.050946785,-0.0043312386
0.056995728,-0.0044179633
0.038461882,-0.0044715554
0.070750284,-0.004203163
