x,y,abs_error_t71
17.358011,28.512974,0.04133278
17.821198,28.482878,0.07115471
18.284386,28.45278,0.09468895
17.094778,28.939785,0.0066840053
17.562815,28.912497,0.026826084
18.030853,28.885208,0.04106897
17.294731,29.336498,0.015100479
17.767618,29.31202,0.040720105
2.758639,17.512957,0.021541059
2.872948,17.269396,0.02537173
2.9862928,17.025364,0.026408434
2.9343457,17.760855,0.067693174
3.0491366,17.517529,0.061295867
3.1629636,17.273731,0.048008084
3.2253256,17.765661,0.08447999
3.3396344,17.5221,0.069671154
3.5163052,17.770468,0.093290865
17.431309,27.009161,0.0882684
17.985912,26.940346,0.121313155
18.540514,26.87153,0.10546279
19.095118,26.802715,0.07530618
17.715668,27.490368,0.11746395
18.27424,27.423737,0.1340167
18.832813,27.357107,0.11627686
18.000027,27.971573,0.1196596
18.562569,27.90713,0.13342118
3.1318502,16.69378,0.0091174245
