step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda
122,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
123,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
124,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
125,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
126,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
127,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
128,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
129,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
130,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
131,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
132,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
133,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
134,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
135,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
136,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
137,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
138,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
139,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
140,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
141,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
142,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
143,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
144,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
145,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
146,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
147,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
148,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
149,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
150,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
151,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
152,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
153,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
154,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
155,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
156,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
157,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
158,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
159,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
160,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
161,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
162,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
163,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
164,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
165,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
166,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
167,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
168,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
169,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
170,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
171,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
172,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
173,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
174,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
175,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
176,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
177,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
178,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
179,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
180,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
181,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
182,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
183,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
184,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
185,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
186,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
187,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
188,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
189,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
190,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
191,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
192,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
193,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
194,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
195,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
196,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
197,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
198,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
199,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
200,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
201,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
202,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
203,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
204,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
205,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
206,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
207,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
208,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
209,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
210,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
211,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
212,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
213,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
214,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
215,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
216,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
217,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
218,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
219,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
220,adam,155.08112945872813,4.939511521237797,1.1283935664591958,1.010502046037005,343.9,179.528351013156,271.000729
