step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,total_loss
111,adam,0.02175627642821881,0.05327108514405066,0.02620922719999667,0.041885141884126974,5.015611989825453e-05,0.00014085329237258843,7.970695816634215e-08,3.5198853246627317
112,adam,0.021700231238238273,0.05320546355458998,0.025720595111770016,0.0419792797296278,5.0283692079603735e-05,0.00013866237713955343,7.901835996995766e-08,3.510635722068048
113,adam,0.02171127305876824,0.05304777826513014,0.025874326125748696,0.041986613384177605,4.9926948826572286e-05,0.00013678773370150838,7.851897724124008e-08,3.5111895222817697
114,adam,0.02177079724929025,0.053230539204612855,0.025913355030840444,0.04192460748937822,5.009490057765957e-05,0.00013566777488449588,7.787385302912475e-08,3.520526878295406
115,adam,0.021666674063571038,0.05314007269278649,0.025781811064770146,0.04165471405271561,4.991320642030557e-05,0.00013493946537510642,7.781250431090455e-08,3.504433124296127
116,adam,0.021659416897642995,0.053041156621709946,0.025572787549707196,0.041724523829837,4.968842275106468e-05,0.0001343177059278523,7.673013272786252e-08,3.5025477255544355
117,adam,0.021620530875459794,0.05286088838211952,0.025635601051392093,0.041918584896672155,4.995634146560464e-05,0.0001312902592959994,7.617232161156872e-08,3.495820253126083
118,adam,0.021618611029078885,0.05305930335194834,0.025932456757272442,0.04175404122760219,4.948732760479494e-05,0.00013155235032055287,7.583180363216372e-08,3.496629891857024
119,adam,0.021633641313641302,0.052901599676378315,0.025508092836506905,0.04172038779624047,4.967520339226711e-05,0.00012983079983725122,7.55053592122808e-08,3.4972334907900904
120,adam,0.02166066150511465,0.0529478324517127,0.025634723324929515,0.04207702185357771,4.9626433821920785e-05,0.00012741794067081964,7.463013467427557e-08,3.501419213510329
121,adam,0.02159076538537779,0.05288778305534394,0.025575236747822454,0.04168716073036194,4.919324935819473e-05,0.00012839662456592065,7.397113539618952e-08,3.490624358577113
122,adam,0.021567924849448666,0.052732029388989174,0.025487609688312776,0.04162159922622865,4.948552023345274e-05,0.00012763783841716845,7.345922946635783e-08,3.486322533699774
123,adam,0.021535482678201892,0.0526871056325974,0.02546706399129283,0.04164296628967408,4.931178538695789e-05,0.0001254850238535343,7.324396985693731e-08,3.4809732744770665
124,adam,0.021592707523415165,0.05293867064099158,0.025748802889739315,0.042003139973648136,4.9137005149649696e-05,0.00012598917542603767,7.320235634859918e-08,3.4912228430471113
125,adam,0.02157266522126813,0.05275745377425225,0.025393623137666334,0.041987213276086316,4.90711776834477e-05,0.00012693690575448977,7.286605853462994e-08,3.4871534685934744
126,adam,0.021543258620846654,0.052724512714532115,0.025358400337638393,0.04178527442197646,4.872990910136592e-05,0.00012315569972176285,7.19803544081016e-08,3.481722516398276
127,adam,0.021599136353019747,0.052834956996863885,0.0259679120875174,0.04227843255765976,4.94161173382083e-05,0.00012563021371005885,7.129837938684372e-08,3.492169003332815
128,adam,0.021518873351235545,0.05281875294543082,0.025345386817089973,0.041617789696301186,4.8815388811729665e-05,0.00012462440457555556,7.07546700225741e-08,3.4787774855090725
129,adam,0.021547558687386975,0.05290243870789005,0.02532191730795368,0.04193406756366453,4.8728999137247524e-05,0.00012165324005763978,7.019945055360715e-08,3.4830680431858188
130,adam,0.021499253569110748,0.05267469548890667,0.025299034231612758,0.04211679954201945,4.899312543491232e-05,0.00012723045755035032,6.948913542072982e-08,3.4761883751038583
131,adam,0.021481463144863804,0.05261849984526634,0.026129177380954067,0.041831845357533426,4.8732715156567734e-05,0.00012125002362036838,6.910574879362508e-08,3.4728491844669467
132,adam,0.021495131895907463,0.052627568163218036,0.02527743559931555,0.04171666022269956,4.852237215081621e-05,0.00012052870794920431,6.934318650469468e-08,3.4735931119611188
133,adam,0.021522742545893116,0.052889779570602605,0.025494181460911227,0.04225569038141158,4.889526521325142e-05,0.00012138438966846274,6.808220510654264e-08,3.4799346846918904
