concentration,mu_h(c)
0.730725988,-0.55541277
0.689857372,-0.5282919
0.66606508,-0.4814726
0.663048932,-0.47358865
0.622500656,-0.4206509
0.597496191,-0.2905556
0.0126,-1.353476
0.0126,-1.5392616
0.0126,-1.7442303
0.0126,-1.9392028
0.0126,-1.4720433
0.0126,-1.6581073
0.0126,-1.849643
0.0126,-1.5723455
0.0126,-1.7524385
0.43112977,0.17429364
0.570341738,-0.1619978
0.652829055,-0.3873549
0.530078469,-0.026621051
0.650842896,-0.27244624
0.706198987,-0.38937408
0.60762983,-0.15061289
0.678761108,-0.28248185
0.621427471,-0.17144358
0.013559952,-1.3570979
0.012691491,-1.6788929
0.0126,-1.9580054
0.0126,-2.1430583
0.012678082,-1.5982926
0.0126,-1.887454
0.0126,-2.1080298
0.0126,-1.7955909
0.0126,-2.0389192
0.241516848,0.56020355
0.385128474,0.3030469
0.522354049,-0.0026993533
0.325338752,0.45503432
0.448030797,0.16596511
0.549654974,-0.027587194
0.40539321,0.34302646
0.429599423,0.13706663
0.357995447,0.32394278
0.0126,-1.3497682
0.0126,-1.7431667
0.0126,-1.9659576
0.0126,-2.0441809
0.0126,-1.6929805
0.0126,-1.9826369
0.0126,-2.104451
0.0126,-1.9613097
0.0126,-2.1418016
0.081918792,0.48823
0.154661635,0.6028302
0.396183485,0.492203
0.03802092,0.56166637
0.364243425,0.59978795
0.190666659,0.5240175
0.325182202,0.5956423
0.030020901,0.6025455
0.074978981,0.5998213
0.0126,-1.4406502
0.0126,-1.6771336
0.0126,-1.7716553
0.0126,-1.7950935
0.0126,-1.7174642
0.0126,-1.8489988
0.0126,-1.8852522
0.0126,-1.9133921
0.0126,-1.9690962
0.049381529,0.4255705
0.08012194,0.537501
0.334578362,0.58816147
0.110560338,0.51159024
0.284429592,0.5755718
0.110456027,0.5960463
0.237630814,0.56243396
0.113515248,0.592456
0.090191121,0.5887325
0.013396238,-1.3445642
0.014442516,-1.4545901
0.014250188,-1.4954345
0.0126,-1.4974325
0.0126,-1.538842
0.0126,-1.5930438
0.0126,-1.6009536
0.0126,-1.6851668
0.0126,-1.7003083
0.076244429,0.38243246
0.086849448,0.49162078
0.221802634,0.55793965
0.109634837,0.46472716
0.178327364,0.5442927
0.119582515,0.5842807
0.143008997,0.52541983
0.146704815,0.576689
0.160673534,0.5647198
0.033673157,-1.1214769
0.015959364,-1.1715498
0.0126,-1.1830058
0.0126,-1.1673391
0.027300577,-1.2719395
0.015115997,-1.2913125
0.0126,-1.2809796
0.017512987,-1.3963842
0.012623947,-1.3910432
0.115936287,0.35147095
0.137835475,0.44796205
0.154376843,0.51901174
0.124936398,0.4214399
0.151352908,0.4996829
0.160673534,0.55260384
0.134067817,0.47837138
0.164787591,0.5381777
0.150589426,0.5219916
0.012605893,-0.8877969
0.0126,-0.8976066
0.0126,-0.88708663
0.0126,-0.86119866
0.0126,-0.9917877
0.0126,-0.9855511
0.0126,-0.960979
0.0126,-1.0852995
0.0126,-1.064348
0.081829829,0.34882593
0.101453754,0.41882992
0.126393472,0.47666812
0.093687559,0.40663052
0.116740047,0.46438932
0.141127244,0.5107055
0.111687168,0.4558127
0.133698105,0.50198984
0.124010282,0.4964192
0.0126,-0.81333375
0.0126,-0.75846076
0.0126,-0.6961701
0.0126,-0.7886927
0.013365319,-0.7443931
0.0126,-0.69213223
0.022060133,-0.72189546
0.015412704,-0.67887497
0.025427125,-0.65710926
0.077310771,0.35468054
0.092412132,0.40958166
0.110952393,0.45684075
0.089981458,0.39761257
0.107477105,0.44872642
0.124010282,0.49139
0.103778265,0.43598533
0.124010282,0.48267055
0.105357702,0.4697671
0.0126,-0.4550712
0.015432178,-0.53793406
0.021753927,-0.6026945
0.012858156,-0.492651
0.013790533,-0.56678486
0.016769419,-0.6263988
0.0126,-0.52161026
0.013145742,-0.5884397
0.0126,-0.5423534
0.105357702,0.44907022
0.0858592,0.42167354
0.066027007,0.38600564
0.095374738,0.4072547
0.08566709,0.3783672
0.074870497,0.3411224
0.074405003,0.33019233
0.065256089,0.2921207
0.055613089,0.23983932
0.0126,-0.35388422
0.012651225,-0.29420543
0.013096397,-0.22515988
0.013647402,-0.14815855
0.0126,-0.392339
0.012617449,-0.33375764
0.012968115,-0.26551962
0.0126,-0.42601418
0.012635671,-0.36855793
0.035710466,0.11599517
0.050270927,0.21618938
0.064707315,0.30733228
0.036263982,0.13684106
0.050732936,0.23989987
0.066027007,0.331697
0.035245312,0.15884638
0.03604899,0.2640295
0.03604899,0.18157291
0.019174798,-0.1337564
0.021017033,-0.030608892
0.02696591,0.07676911
0.015438424,-0.14107299
0.016770667,-0.03329611
0.015735362,0.07821584
